IKS_2023,IKE_2023,IKL_2023,STATUS_ENCODED
0.8114,0.6167,0.6667,2
0.7486,0.4833,0.6667,2
0.8571,0.6333,0.6,2
0.7829,0.6167,0.6,2
0.8057,0.7,0.6,2
0.72,0.75,0.4667,2
0.6857,0.5833,0.6667,2
0.7657,0.4333,0.6,2
0.5543,0.3167,0.5333,0
0.68,0.4333,0.5333,1
0.6914,0.4,0.1333,0
0.5886,0.3833,0.4667,0
0.5714,0.4167,0.6,1
0.7086,0.45,0.4,1
0.6457,0.4,0.4,0
0.6971,0.4833,0.4,1
0.5943,0.4167,0.3333,0
0.7029,0.45,0.5333,1
0.7029,0.45,0.6,1
0.72,0.45,0.6,1
0.84,0.6833,0.7333,3
0.8629,0.6333,0.7333,3
0.7943,0.5667,0.7333,2
0.8343,0.6833,0.7333,3
0.6686,0.4667,0.3333,0
0.6229,0.5167,0.2667,0
0.6857,0.4833,0.2,0
0.7657,0.6833,0.2667,1
0.6571,0.4333,0.2,0
0.7657,0.5667,0.7333,2
0.7086,0.5667,0.6,2
0.7086,0.5167,0.6,2
0.72,0.6833,0.5333,2
0.7371,0.6,0.2,1
0.7486,0.5333,0.5333,2
0.7771,0.6833,0.6,2
0.6857,0.5667,0.6,2
0.7543,0.75,0.6,2
0.8,0.55,0.4667,2
0.6171,0.4667,0.4,1
0.6171,0.5333,0.6,1
0.64,0.35,0.5333,1
0.6457,0.4167,0.5333,1
0.68,0.5333,0.4667,1
0.6914,0.55,0.6,2
0.6171,0.5833,0.6,2
0.72,0.4833,0.4,1
0.6857,0.5167,0.5333,1
0.6514,0.4833,0.6,1
0.6629,0.4833,0.5333,1
0.64,0.45,0.5333,1
0.6686,0.3833,0.6,1
0.6286,0.4167,0.6,1
0.6457,0.3667,0.6,1
0.72,0.7833,0.6,2
0.6629,0.6833,0.6,2
0.6514,0.5333,0.5333,1
0.7657,0.6167,0.6,2
0.7371,0.6,0.6,2
0.5886,0.5667,0.6,1
0.6571,0.4667,0.6,1
